stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
3874,3874,Vikas Pradhikaran,Vikas Pradhikaran,,22.74591,75.83805,,,0,,Asia/Kolkata,0,,,
3875,3875,Vidhyanjali School,Vidhyanjali School,,22.69804,75.79378,,,0,,Asia/Kolkata,0,,,
3876,3876,Vidhyadham,Vidhyadham,,22.72574,75.82043,,,0,,Asia/Kolkata,0,,,
3877,3877,Velocity Talkies,Velocity Talkies,,22.74521,75.90292,,,0,,Asia/Kolkata,0,,,
3878,3878,Veena nagar,Veena nagar,,22.75897,75.8702,,,0,,Asia/Kolkata,0,,,
3879,3879,Bank Colony,Bank Colony,,22.69451,75.8387,,,0,,Asia/Kolkata,0,,,
3880,3880,Bapat,Bapat,,22.75561,75.87815,,,0,,Asia/Kolkata,0,,,
3881,3881,Vaishali Nagar,Vaishali Nagar,,22.68372,75.8296,,,0,,Asia/Kolkata,0,,,
3882,3882,Bhagirathpura Pul,Bhagirathpura Pul,,22.74653,75.86611,,,0,,Asia/Kolkata,0,,,
3883,3883,Bhagirathpura,Bhagirathpura,,22.74579,75.86117,,,0,,Asia/Kolkata,0,,,
3884,3884,Usha Nagar,Usha Nagar,,22.69679,75.83935,,,0,,Asia/Kolkata,0,,,
3885,3885,Vaibhav Nagar,Vaibhav Nagar,,22.72173,75.91554,,,0,,Asia/Kolkata,0,,,
3886,3886,Tulsi Nagar,Tulsi Nagar,,22.75285,75.91879,,,0,,Asia/Kolkata,0,,,
3888,3888,Triveni Chouraha,Triveni Chouraha,,22.74223,75.84104,,,0,,Asia/Kolkata,0,,,
3889,3889,Tower Chouraha_2,Tower Chouraha_2,,22.6982,75.8646,,,0,,Asia/Kolkata,0,,,
3890,3890,Tower Chouraha_1,Tower Chouraha_1,,22.69772,75.86488,,,0,,Asia/Kolkata,0,,,
3891,3891,Tirupati Nagar,Tirupati Nagar,,22.72351,75.82969,,,0,,Asia/Kolkata,0,,,
3893,3893,Bhagwati Dwar,Bhagwati Dwar,,22.68545,75.8239,,,0,,Asia/Kolkata,0,,,
3894,3894,Timber Market,Timber Market,,22.71139,75.83457,,,0,,Asia/Kolkata,0,,,
3896,3896,Tilak Nagar,Tilak Nagar,,22.72112,75.89869,,,0,,Asia/Kolkata,0,,,
3897,3897,Bhamori,Bhamori,,22.74662,75.88795,,,0,,Asia/Kolkata,0,,,
3898,3898,Tigriya Badshah Kakad,Tigriya Badshah Kakad,,22.75605,75.83071,,,0,,Asia/Kolkata,0,,,
3899,3899,Tejaji Nagar,Tejaji Nagar,,22.63999,75.88834,,,0,,Asia/Kolkata,0,,,
39,39,Rajiv Gandhi Circle,Rajiv Gandhi Circle,,22.68264,75.85727,,,0,,Asia/Kolkata,0,,,
